Date,Longs,Shorts,Return
2022-09-30,"BNB/USDT:USDT,ETC/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","DYDX/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MASK/USDT:USDT",-0.33952493250484406
2022-10-31,"BNB/USDT:USDT,CHZ/USDT:USDT,DOGE/USDT:USDT,TRX/USDT:USDT","AXS/USDT:USDT,FIL/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT",0.06378929448720955
2022-11-30,"BNB/USDT:USDT,DOGE/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,GALA/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT",0.09889340155014775
2022-12-31,"BNB/USDT:USDT,DOGE/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT","GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT,ZIL/USDT:USDT",-1.021059436536751
2023-01-31,"BNB/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,TRX/USDT:USDT","AXS/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,ZIL/USDT:USDT",0.015636680811972503
2023-02-28,"BNB/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,ZIL/USDT:USDT",0.008320079257381013
2023-03-31,"BNB/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",-0.07249330463724388
2023-04-30,"BNB/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT","AXS/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT",0.10675218834074293
2023-05-31,"ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,NEAR/USDT:USDT,STORJ/USDT:USDT,TRB/USDT:USDT",0.1020239373899064
2023-06-30,"BTC/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT","AXS/USDT:USDT,CHZ/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT",-0.05951566355949919
2023-07-31,"BTC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,NEAR/USDT:USDT,SUSHI/USDT:USDT",0.03925031059572909
2023-08-31,"ETH/USDT:USDT,RUNE/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,NEAR/USDT:USDT,SUSHI/USDT:USDT",0.05223475115516876
2023-09-30,"LINK/USDT:USDT,RUNE/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,GALA/USDT:USDT,SUSHI/USDT:USDT",0.06840200818761238
2023-10-31,"BTC/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT,TRX/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT",0.3117276926537115
2023-11-30,"AAVE/USDT:USDT,AVAX/USDT:USDT,ETH/USDT:USDT,STORJ/USDT:USDT","ALGO/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,MASK/USDT:USDT",0.008354611071981016
2023-12-31,"BTC/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT","GALA/USDT:USDT,LINA/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT",0.30415066366051535
2024-01-31,"BTC/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,TRX/USDT:USDT","CRV/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",0.08632700128103965
2024-02-29,"AXS/USDT:USDT,CHZ/USDT:USDT,MANA/USDT:USDT,TRX/USDT:USDT","CRV/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",-0.0398010395614771
2024-03-31,"AAVE/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,DOT/USDT:USDT","CRV/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",0.11912788330308405
2024-04-30,"BNB/USDT:USDT,BTC/USDT:USDT,NEAR/USDT:USDT,TRX/USDT:USDT","CRV/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",-0.4024931680983609
2024-05-31,"BNB/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,NEAR/USDT:USDT","DYDX/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",0.0431646077613177
2024-06-30,"BNB/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT","DYDX/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT",0.1614257539995523
2024-07-31,"BNB/USDT:USDT,BTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","DYDX/USDT:USDT,GALA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",0.21292629737833843
2024-08-31,"AAVE/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","DYDX/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",-0.025819742742837826
2024-09-30,"AAVE/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","DYDX/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT",0.05742736718485
